Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-12-30,Venom,2018,https://boxd.it/5r9pCZ,3.0,,,2020-09-18
2023-12-31,Get Out,2017,https://boxd.it/5rMbdz,4.0,,,2020-09-23
2025-01-08,The New Mutants,2020,https://boxd.it/8mRaeb,1.5,,,2020-11-12
2023-12-30,Wonder Woman 1984,2020,https://boxd.it/5r9y0F,3.5,,,2020-12-28
2023-12-30,The Longest Yard,2005,https://boxd.it/5r9w2f,3.5,,,2021-03-17
2023-12-30,Zack Snyder's Justice League,2021,https://boxd.it/5r9Dz1,4.5,,,2021-03-18
2023-12-30,The Father,2020,https://boxd.it/5r9tQV,4.0,,,2021-04-28
2023-12-30,Nomadland,2020,https://boxd.it/5r9uJV,1.5,,,2021-05-08
2023-12-30,Venom: Let There Be Carnage,2021,https://boxd.it/5r9rgh,2.5,,,2021-12-17
2023-12-30,Don't Look Up,2021,https://boxd.it/5r9kQn,4.0,,,2021-12-25
2023-12-30,Morbius,2022,https://boxd.it/5r9CeV,2.0,,,2022-05-21
2023-12-30,Black Adam,2022,https://boxd.it/5r9fDD,3.0,,,2022-12-24
2023-12-30,Prison Break: The Final Break,2009,https://boxd.it/5r9evD,3.0,,,2022-12-26
2023-12-30,M3GAN,2022,https://boxd.it/5r9cT9,2.0,,,2023-02-26
2023-12-30,Shazam! Fury of the Gods,2023,https://boxd.it/5r9bht,3.0,,,2023-04-07
2023-12-30,The Flash,2023,https://boxd.it/5r99Tl,3.5,,,2023-07-18
2023-12-30,Captain Fantastic,2016,https://boxd.it/5r98eh,3.5,,,2023-07-23
2023-12-30,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/5r96Dz,3.5,,,2023-11-11
2023-12-29,Blue Beetle,2023,https://boxd.it/5qiFzB,3.0,,,2023-12-24
2023-12-29,Bullet Train,2022,https://boxd.it/5qiH4l,4.0,,,2023-12-25
2023-12-29,A Man Called Otto,2022,https://boxd.it/5qiIyB,4.5,,,2023-12-26
2023-12-29,Nope,2022,https://boxd.it/5qiB5x,3.5,,,2023-12-27
2023-12-29,Uncharted,2022,https://boxd.it/5qEqh7,2.0,,,2023-12-28
2023-12-30,Nobody,2021,https://boxd.it/5rdA4H,3.5,,,2023-12-29
2023-12-31,Bruce Almighty,2003,https://boxd.it/5rMuY5,4.0,Yes,,2023-12-30
2024-01-01,Uncut Gems,2019,https://boxd.it/5sm5Ld,3.5,,,2023-12-31
2024-01-02,Death on the Nile,2022,https://boxd.it/5sKhlT,2.5,,,2024-01-01
2024-01-02,You People,2023,https://boxd.it/5t4N7p,2.0,,,2024-01-01
2024-01-03,El Camino,2019,https://boxd.it/5tL07B,4.0,,,2024-01-02
2024-01-16,Shutter Island,2010,https://boxd.it/5BEYUB,4.5,,,2024-01-15
2024-01-17,John Wick,2014,https://boxd.it/5CaVQF,4.0,,,2024-01-16
2024-01-18,Leave the World Behind,2023,https://boxd.it/5CDK3F,4.0,,,2024-01-17
2024-01-19,Us,2019,https://boxd.it/5D5OOB,4.0,,,2024-01-18
2024-01-21,The Unforgivable,2021,https://boxd.it/5E0nkt,3.5,,,2024-01-20
2024-01-22,The Irishman,2019,https://boxd.it/5EJV7j,4.5,Yes,,2024-01-21
2024-01-24,Forrest Gump,1994,https://boxd.it/5FEV6f,4.5,,,2024-01-23
2024-01-27,GoodFellas,1990,https://boxd.it/5H0WRz,5.0,,,2024-01-26
2024-01-29,Gone in 60 Seconds,2000,https://boxd.it/5IdXcn,3.0,,,2024-01-28
2024-01-30,The Gentlemen,2019,https://boxd.it/5IIkLZ,3.5,Yes,,2024-01-29
2024-01-31,Aquaman and the Lost Kingdom,2023,https://boxd.it/5J9XSf,2.5,,,2024-01-30
2024-02-11,John Wick: Chapter 2,2017,https://boxd.it/5NRx9x,3.0,,,2024-02-10
2024-03-11,American Psycho,2000,https://boxd.it/61oYoH,4.0,,,2024-03-10
2024-03-12,1917,2019,https://boxd.it/62653R,4.0,Yes,,2024-03-11
2024-03-14,Babylon,2022,https://boxd.it/62MhAH,4.5,,,2024-03-13
2024-03-15,Society of the Snow,2023,https://boxd.it/63e2Aj,3.5,,,2024-03-14
2024-03-17,Poor Things,2023,https://boxd.it/648JgD,3.5,,,2024-03-16
2024-03-31,Dune: Part One,2021,https://boxd.it/6aNs1n,3.5,,,2024-03-29
2024-03-31,Dune: Part Two,2024,https://boxd.it/6aNvht,4.0,,,2024-03-30
2024-05-20,The Revenant,2015,https://boxd.it/6vySm1,3.0,Yes,,2024-05-19
2024-05-24,The Thing,1982,https://boxd.it/6x9wt3,4.0,,,2024-05-23
2024-07-22,Godzilla x Kong: The New Empire,2024,https://boxd.it/6VCguj,2.5,,,2024-07-21
2024-08-04,Deadpool,2016,https://boxd.it/71u59H,3.0,,,2024-08-03
2024-08-05,Deadpool 2,2018,https://boxd.it/71U8sz,3.5,,,2024-08-04
2024-08-06,Deadpool & Wolverine,2024,https://boxd.it/72ns7J,3.0,,,2024-08-05
2024-08-26,Beverly Hills Cop: Axel F,2024,https://boxd.it/7bor8J,3.5,,,2024-08-25
2024-09-06,Incantation,2022,https://boxd.it/7gqQNr,2.5,,,2024-09-05
2024-09-15,Alien,1979,https://boxd.it/7kyxAv,4.0,,,2024-09-14
2024-09-15,Apostle,2018,https://boxd.it/7kCUS1,3.0,,,2024-09-14
2024-10-20,The Substance,2024,https://boxd.it/7B2HM1,3.5,,,2024-10-20
2024-10-21,Wolfs,2024,https://boxd.it/7BIVET,3.0,,,2024-10-21
2024-10-24,Rebel Ridge,2024,https://boxd.it/7CTy7j,3.0,,,2024-10-23
2024-10-30,Don't Move,2024,https://boxd.it/7GhbdD,3.0,,,2024-10-29
2024-11-02,Groundhog Day,1993,https://boxd.it/7HTMUT,4.0,Yes,,2024-11-02
2024-11-03,Twins,1988,https://boxd.it/7I8pCd,4.0,,,2024-11-02
2024-11-09,The Departed,2006,https://boxd.it/7Lg8nD,4.5,,,2024-11-08
2024-11-10,Joker: Folie à Deux,2024,https://boxd.it/7LI3IH,3.0,,,2024-11-09
2024-11-11,Another Round,2020,https://boxd.it/7McHpF,3.5,,,2024-11-10
2024-11-14,Murder on the Orient Express,2017,https://boxd.it/7NKngl,3.5,,,2024-11-13
2024-11-15,Apocalypse Z: The Beginning of the End,2024,https://boxd.it/7O98WB,2.5,,,2024-11-14
2024-11-16,Rise of the Planet of the Apes,2011,https://boxd.it/7OCO29,4.0,Yes,,2024-11-15
2024-11-18,Transformers,2007,https://boxd.it/7PLyoF,3.5,,,2024-11-17
2024-12-08,Kill Bill: Vol. 1,2003,https://boxd.it/7ZEv3l,4.0,,,2024-12-07
2024-12-08,Click,2006,https://boxd.it/7ZOvh3,3.5,,,2024-12-07
2024-12-09,Avatar,2009,https://boxd.it/80f6UD,4.0,,,2024-12-08
2024-12-14,Dawn of the Planet of the Apes,2014,https://boxd.it/82UkNB,4.5,Yes,,2024-12-14
2024-12-20,Venom: The Last Dance,2024,https://boxd.it/86cMg9,2.5,,,2024-12-19
2024-12-27,The Lives of Others,2006,https://boxd.it/8bhWKj,4.5,,,2024-12-26
2024-12-29,Civil War,2024,https://boxd.it/8cI9m1,3.5,,,2024-12-28
2024-12-30,American Made,2017,https://boxd.it/8e5Pqf,3.5,,,2024-12-29
2024-12-31,The Truman Show,1998,https://boxd.it/8f1DLh,5.0,Yes,,2024-12-30
