Date,Name,Year,Letterboxd URI,Genre,Director,Writer,Actors,Language,Country,Poster
2024-03-15,The Wolf of Wall Street,2013,https://boxd.it/3C1m,"Biography, Comedy, Crime",Martin Scorsese,"Terence Winter, Jordan Belfort","Leonardo DiCaprio, Jonah Hill, Margot Robbie","English, French",United States,https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_SX300.jpg
2024-03-17,The Holdovers,2023,https://boxd.it/vHza,"Comedy, Drama",Alexander Payne,David Hemingson,"Paul Giamatti, Da'Vine Joy Randolph, Dominic Sessa",English,United States,https://m.media-amazon.com/images/M/MV5BOWY3MjUzZTctOTI5ZC00MDA5LTk4ZTMtZWJjNjRmMzE4ZmI2XkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,Bad Boys: Ride or Die,2024,https://boxd.it/l3Ki,"Action, Adventure, Comedy","Adil El Arbi, Bilall Fallah","Chris Bremner, Will Beall, George Gallo","Will Smith, Martin Lawrence, Vanessa Hudgens",English,United States,https://m.media-amazon.com/images/M/MV5BZWNjZWUwNDgtYTM4ZC00Zjk0LTg3ZWItNGEyZmVkZTIxZDk0XkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,Godzilla Minus One,2023,https://boxd.it/zu4c,"Action, Adventure, Drama",Takashi Yamazaki,"Takashi Yamazaki, Ishirô Honda, Takeo Murata","Minami Hamabe, Ryûnosuke Kamiki, Sakura Andô",Japanese,Japan,https://m.media-amazon.com/images/M/MV5BMjc5MjllMGUtMDIwMS00ZDVkLWEzODQtM2NlMTMwMTZhNThmXkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,Planet of the Apes,1968,https://boxd.it/29p8,"Action, Adventure, Sci-Fi",Tim Burton,"Pierre Boulle, William Broyles Jr., Lawrence Konner","Mark Wahlberg, Tim Roth, Helena Bonham Carter",English,United States,https://m.media-amazon.com/images/M/MV5BYjczODRhOTQtZjdkYi00MmM2LTg1ZmEtZDQ3YjA5MDJhODNhXkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,Inception,2010,https://boxd.it/1skk,"Action, Adventure, Sci-Fi",Christopher Nolan,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page","English, Japanese, French","United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_SX300.jpg
2024-06-10,Oppenheimer,2023,https://boxd.it/wUow,"Biography, Drama, History",Christopher Nolan,"Christopher Nolan, Kai Bird, Martin Sherwin","Cillian Murphy, Emily Blunt, Robert Downey Jr.","English, German, Italian, Dutch","United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BM2RmYmVmMzctMzc5Ny00MmNiLTgxMGUtYjk1ZDRhYjA2YTU0XkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,Glass Onion,2022,https://boxd.it/oCkK,"Comedy, Crime, Drama",Rian Johnson,Rian Johnson,"Daniel Craig, Edward Norton, Kate Hudson","English, French",United States,https://m.media-amazon.com/images/M/MV5BMzI2ZDYxZTEtMzVlOC00OTUyLTgyNTAtYWFhNmRhZjAzZWE1XkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,Ghostbusters: Frozen Empire,2024,https://boxd.it/AxYu,"Adventure, Comedy, Fantasy",Gil Kenan,"Gil Kenan, Jason Reitman, Ivan Reitman","Paul Rudd, Carrie Coon, Finn Wolfhard","English, Korean, French","United States, Canada, United Kingdom",https://m.media-amazon.com/images/M/MV5BOWI5NGUyMzUtMGFiNi00ZTc3LTk1YTQtMDU0NGRjNGIxZTZmXkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,American Fiction,2023,https://boxd.it/DYHm,"Comedy, Drama",Cord Jefferson,"Cord Jefferson, Percival Everett","Jeffrey Wright, Skyler Wright, John Ales",English,United States,https://m.media-amazon.com/images/M/MV5BM2I4ZTZhOTMtZDQ0Ni00MzI5LWE2YjktNzc0NjdkOGJiZjYzXkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,Madame Web,2024,https://boxd.it/nwD0,"Action, Thriller",S.J. Clarkson,"Matt Sazama, Burk Sharpless, Claire Parker","Dakota Johnson, Sydney Sweeney, Isabela Merced","English, Spanish","United States, Mexico, Canada",https://m.media-amazon.com/images/M/MV5BODViOTZiOTQtOTc4ZC00ZjUxLWEzMjItY2ExMmNlNDliNjE4XkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,Anatomy of a Fall,2023,https://boxd.it/yuDE,"Crime, Drama, Mystery",Justine Triet,"Justine Triet, Arthur Harari","Sandra Hüller, Swann Arlaud, Milo Machado-Graner","French, English",France,https://m.media-amazon.com/images/M/MV5BYTk3MjFkZmQtMThiYi00N2JhLTk2YzItZTE5ZGUxZTIyZDVkXkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,Past Lives,2023,https://boxd.it/oNB8,"Drama, Romance",Celine Song,Celine Song,"Greta Lee, Teo Yoo, John Magaro","Korean, English, Mandarin, French","United States, South Korea",https://m.media-amazon.com/images/M/MV5BYjQyMTNhNjUtN2VmYy00NWRhLTkwOTctMGVmNTBmNDIxYjZhXkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,Saltburn,2023,https://boxd.it/z4eg,"Drama, Thriller",Emerald Fennell,Emerald Fennell,"Barry Keoghan, Jacob Elordi, Rosamund Pike",English,"United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BZjk4NGE3MWItMDRhMy00YzhiLTk0MGUtZDlkNmQxYWIxYzc2XkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,Killers of the Flower Moon,2023,https://boxd.it/gHp0,"Crime, Drama, History",Martin Scorsese,"Eric Roth, Martin Scorsese, David Grann","Leonardo DiCaprio, Robert De Niro, Lily Gladstone","English, Osage, Latin, French",United States,https://m.media-amazon.com/images/M/MV5BZWY5ZDVjNTUtODI5Yy00MjFhLWEyM2EtYzZjM2VjZTI0MTBjXkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/b8vM,"Action, Adventure, Sci-Fi",James Mangold,"Jez Butterworth, John-Henry Butterworth, David Koepp","Harrison Ford, Phoebe Waller-Bridge, Antonio Banderas","English, German, Greek, Ancient (to 1453), Spanish, Italian",United States,https://m.media-amazon.com/images/M/MV5BYWJlOWE2ZjEtZGRhOC00M2YzLWFkZGEtYzIzZWI2Zjg3NWYxXkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,Transformers: Revenge of the Fallen,2009,https://boxd.it/20gG,"Action, Adventure, Sci-Fi",Michael Bay,"Ehren Kruger, Roberto Orci, Alex Kurtzman","Shia LaBeouf, Megan Fox, Josh Duhamel","English, Spanish","United States, Jordan, United Kingdom, Egypt",https://m.media-amazon.com/images/M/MV5BNjk4OTczOTk0NF5BMl5BanBnXkFtZTcwNjQ0NzMzMw@@._V1_SX300.jpg
2024-06-10,Transformers: Dark of the Moon,2011,https://boxd.it/16aC,"Action, Adventure, Comedy",Michael Bay,Ehren Kruger,"Shia LaBeouf, Rosie Huntington-Whiteley, Tyrese Gibson","English, Russian","United States, Hong Kong, Cambodia, United Kingdom",https://m.media-amazon.com/images/M/MV5BMTkwOTY0MTc1NV5BMl5BanBnXkFtZTcwMDQwNjA2NQ@@._V1_SX300.jpg
2024-06-10,Transformers: Age of Extinction,2014,https://boxd.it/3d1m,"Action, Adventure, Comedy",Michael Bay,Ehren Kruger,"Mark Wahlberg, Nicola Peltz Beckham, Jack Reynor","English, Chinese","United States, China, Hong Kong",https://m.media-amazon.com/images/M/MV5BMjEwNTg1MTA5Nl5BMl5BanBnXkFtZTgwOTg2OTM4MTE@._V1_SX300.jpg
2024-06-10,Transformers: The Last Knight,2017,https://boxd.it/b8xo,"Action, Adventure, Comedy",Michael Bay,"Art Marcum, Matt Holloway, Ken Nolan","Mark Wahlberg, Anthony Hopkins, Josh Duhamel",English,"United States, China, Canada",https://m.media-amazon.com/images/M/MV5BYWNlNjU3ZTItYTY3Mi00YTU1LTk4NjQtYjQ3MjFiNjcyODliXkEyXkFqcGc@._V1_SX300.jpg
2024-06-10,Bumblebee,2018,https://boxd.it/f21O,"Action, Adventure, Sci-Fi",Travis Knight,Christina Hodson,"Hailee Steinfeld, Jorge Lendeborg Jr., John Cena",English,"China, United States",https://m.media-amazon.com/images/M/MV5BMjUwNjU5NDMyNF5BMl5BanBnXkFtZTgwNzgxNjM2NzM@._V1_SX300.jpg
2024-06-10,Transformers: Rise of the Beasts,2023,https://boxd.it/oQTa,"Action, Adventure, Sci-Fi",Steven Caple Jr.,"Joby Harold, Darnell Metayer, Josh Peters","Anthony Ramos, Dominique Fishback, Luna Lauren Velez","English, Spanish","United States, Canada, United Kingdom, New Zealand, Hungary, Peru, China",https://m.media-amazon.com/images/M/MV5BZTVkZWY5MmItYjY3OS00OWY3LTg2NWEtOWE1NmQ4NGMwZGNlXkEyXkFqcGc@._V1_SX300.jpg
